route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"103",1520_SW,1520_12325,"Lesisko",,0,SW_103-01_24,897787,0,0
"103",1521_SW,1521_37008,"Lesisko",,0,SW_103-01_24,898581,0,0
"103",1520_SW,1520_12330,"Aleja Przyjaźni",,1,SW_103-01_25,897788,0,0
"103",1521_SW,1521_37010,"Aleja Przyjaźni",,1,SW_103-01_25,898582,0,0
"103",1520_SW,1520_12334,"Lesisko",,0,SW_103-01_26,897787,0,0
"103",1521_SW,1521_37014,"Lesisko",,0,SW_103-01_26,898581,0,0
"103",1520_SW,1520_12338,"Aleja Przyjaźni",,1,SW_103-01_27,897788,0,0
"103",1521_SW,1521_37016,"Aleja Przyjaźni",,1,SW_103-01_27,898582,0,0
"103",1520_SW,1520_12342,"Lesisko",,0,SW_103-01_28,897787,0,0
"103",1521_SW,1521_37020,"Lesisko",,0,SW_103-01_28,898581,0,0
"103",1520_SW,1520_12346,"Aleja Przyjaźni",,1,SW_103-01_29,897788,0,0
"103",1521_SW,1521_37023,"Aleja Przyjaźni",,1,SW_103-01_29,898582,0,0
"103",1520_SW,1520_12351,"Lesisko",,0,SW_103-01_30,897787,0,0
"103",1521_SW,1521_37024,"Lesisko",,0,SW_103-01_30,898581,0,0
"103",1520_SW,1520_12354,"Aleja Przyjaźni",,1,SW_103-01_31,897788,0,0
"103",1521_SW,1521_37029,"Aleja Przyjaźni",,1,SW_103-01_31,898582,0,0
"103",1520_SW,1520_12358,"Lesisko",,0,SW_103-01_32,897787,0,0
"103",1521_SW,1521_37031,"Lesisko",,0,SW_103-01_32,898581,0,0
"103",1520_SW,1520_12363,"Aleja Przyjaźni",,1,SW_103-01_33,897788,0,0
"103",1521_SW,1521_37034,"Aleja Przyjaźni",,1,SW_103-01_33,898582,0,0
"103",1520_SW,1520_12367,"Lesisko",,0,SW_103-01_34,897787,0,0
"103",1521_SW,1521_37038,"Lesisko",,0,SW_103-01_34,898581,0,0
"103",1520_SW,1520_12371,"Aleja Przyjaźni",,1,SW_103-01_35,897788,0,0
"103",1521_SW,1521_37041,"Aleja Przyjaźni",,1,SW_103-01_35,898582,0,0
"103",1520_SW,1520_12376,"Lesisko",,0,SW_103-01_36,897787,0,0
"103",1521_SW,1521_37042,"Lesisko",,0,SW_103-01_36,898581,0,0
